Docket No. ( P-Code),ENG Model,T/M Model,Date of Booking,Carrying company,Invoice No. of shipping from dealer,Dealer Code,Material description,VIN No.,PQR No.,Claim No.,Safety issue,Material/Parts No.,Damage code,Distributor name (Overseas),"ENG, TM #",Mileage/Time,Date of claim,Failure description of Dealer,Failure description of MFTBC,Group in charge for investigation,Failure/Damage description in English,Model,WPI Claim No.,Q issue ID,Q issue status,PQR Importance level,Build date,Sold date,Failure date,Position code,Current status
PW24010055,4P10FA4F2122,M038S6A402,,日本通運,240124大館,A0003509PY,"SENSOR,NOX",FBA30  0582282,,,,ME427826,RE,FDP Taiheikougyou FUSO,E54663/Z0N36857,="15598",,,,,,260 LIGHT DUTY TRUCK,="202401460340",,,,="20201030",="20201215",,,
PF24010644,6R200A4F2401,G211CBA925,,日本通運,20240129　深谷,A0003508GE,"TANK ASSY,P/S OIL",FP74HE0540299,240101533A,,No,ML228592,="04",NA,044440/A0D12761,="12000",="20240129",パワステオイルタンク交換,,,,HEAVY DUTY TRUCK,,,,,="20230222",="20230721",="20240129",="46521",Originator Submitted
PF24010697,4P10RA4F0522,M038S6A441,,日本通運,20240131三条,A0003509PF,"SUB HARNESS, EPWI",FDA500590057,240101665A,,No,ML311338,="74",NA,F05636/Z0N94228,="57557",="20240130",21FDA50 ブレーキパッドインジケーターハーネス断線,,,,LIGHT DUTY TRUCK,,,,,="20210909",="20211028",="20231218",="42159",Originator Submitted
PF24010698,4P10RA4F0522,M038S6A441,,日本通運,20240131三条,A0003509PF,"SUB HARNESS, EPWI",FDA500590057,240101665A,,No,ML311338,="74",NA,F05636/Z0N94228,="57557",="20240130",21FDA50 ブレーキパッドインジケーターハーネス断線,,,,LIGHT DUTY TRUCK,,,,,="20210909",="20211028",="20231218",="42159",Originator Submitted
PF24010740,6R200A3F1321,G211CBA905,,日本通運,230131札幌西,A0001102AD,EXPANDER ASSY,FP74HE0520175,240100849A,HF202401230058A,No,ML225156,H5,NA,028092/A0C92168,="190803",="20240120",FP74HE エキパン錆びつきによる引きずり,,,,HEAVY DUTY TRUCK,,,,,="20201109",="20210128",="20240118",4213Q,Submitted to QM
PF24010741,6R200A3F1321,G211CBA905,,日本通運,230131札幌西,A0001102AD,EXPANDER ASSY,FP74HE0520175,240100849A,HF202401230058A,No,ML225156,H5,NA,028092/A0C92168,="190803",="20240120",FP74HE エキパン錆びつきによる引きずり,,,,HEAVY DUTY TRUCK,,,,,="20201109",="20210128",="20240118",4213Q,Submitted to QM
PF24010738,6R200A3F1321,G211CBA905,,日本通運,230131札幌西,A0001102AD,"O-RING,AIR CHAMBER",FP74HE0520175,240100849A,HF202401230058A,No,MC889057,H5,NA,028092/A0C92168,="190803",="20240120",FP74HE エキパン錆びつきによる引きずり,,,,HEAVY DUTY TRUCK,,,,,="20201109",="20210128",="20240118",4213Q,Submitted to QM
PF24010739,6R200A3F1321,G211CBA905,,日本通運,230131札幌西,A0001102AD,"O-RING,AIR CHAMBER",FP74HE0520175,240100849A,HF202401230058A,No,MC889057,H5,NA,028092/A0C92168,="190803",="20240120",FP74HE エキパン錆びつきによる引きずり,,,,HEAVY DUTY TRUCK,,,,,="20201109",="20210128",="20240118",4213Q,Submitted to QM
PF24010742,6R200A3F1321,G211CBA905,,日本通運,230131札幌西,A0001102AD,"CHAMBER,NO.24-24SPG.",FP74HE0520175,240100854A,HF202401230054A,No,ML252061,Y8,NA,028092/A0C92168,="190803",="20240120",FP74HE チャンバー腐食によるブレーキ引きずり,,,,HEAVY DUTY TRUCK,,,,,="20201109",="20210128",="20240118",4213R,Submitted to QM
PF24010743,4P10RA2F1422,M038S6A441,,日本通運,230131札幌西,A0001102AD,"SUB HARNESS, EPWI",FDA200590497,240100877A,HF202401230044A,No,ML311326,RF,NA,F89497/Z0P93492,="17476",="20240120",FDA20 パッドインジケーターハーネス損傷,,,,LIGHT DUTY TRUCK,,,,,="20230206",="20230324",="20240118",="42159",Submitted to QM
PF24010728,6R200A2F2231,G230CBA925,,日本通運,240207新発田,A0003509PE,LED COMBI LAMP,FS74HZ0542580,231201374A,HF202312250071A,No,QZ060761,="56",NA,044674/A0D13021,="26096",="20231222",21 FS74HZ テールランプ水浸(テールランプ不具合),"HDT TG FS74HZ 6R20 tail lamp water intrusion, rear combination lamp defective",QBC,,HEAVY DUTY TRUCK,,QI202401251003A,Approved For Investigation,R3,="20230303",="20230721",="20231026",="69113",Approved
PF24020008,6S10,G250C8A901,,日本通運,240207神ふ港北,A00037030F,HEADLAMP LED LH,MS06GP0085042,240101804A,,No,ML352459,="92",NA,004027/AC98496,="50743",="20240131",21年 MS06GP 左フロントフラッシャーランプ不灯の件,,,,HEAVY DUTY BUS,,,,,="20210916",="20211026",="20240118",8210C,Originator Submitted
PF24020009,6M60BA5F3401,M060S6A191,,日本通運,240207神ふ港北,A00037030F,CONTROL UNIT EXHAUST AFTERTREA,FK62FZ0611074,231201238A,,No,MX942541,="73",NA,299284/K0418778,="15832",="20231220","21年FK62FZ E/G,BlueTec点灯 ACM交換",,,,MEDIUM DUTY TRUCK,,,,,="20230407",="20230616",="20231204",5387L,Originator Submitted
PF24020015,4P10RA2F1222,M038S5B011,,日本通運,240207神ふ港北,A00037030F,HEADLAMP LED RH,FBA200593017,240101801A,,No,ML352450,="92",NA,F32336/Z0P26382,="12954",="20240131",21年 FBA20 右フロントフラッシャーランプ不灯の件,,,,LIGHT DUTY TRUCK,,,,,="20221007",="20221227",="20240119",8210C,Originator Submitted
PF24010745,6R200A2F2241,M130S7H402,,日本通運,230131札幌西,A0001102AD,SOLENOID VALVE COOLING-WATER,FV70HX0545289,240101725A,HF202401310088A,No,MX001313,="92",NA,047398/K0420334,="1081",="20240130",FV70HX BlueTecシステム異常ランプ点灯,,,,HEAVY DUTY TRUCK,,,,,="20230519",="20231109",="20240105",2020P,Submitted to QM
PF24010753,4P10RA4F2422,M038S5B012,,日本通運,西多摩20240207,A0003508HM,"SENSOR,EXH TEMPERATURE",FBA600590902,240101856A,,No,ME427770,="73",NA,E89681/Z0N72631,="5887",="20240131",21TB BlueTecランプ点灯SCR温度センサー不良の件,,,,LIGHT DUTY TRUCK,,,,,="20210513",="20210922",="20240116",="14429",Originator Submitted
PF24020128,6M60BA4F0101,M050S6F267,,佐川急便,1967-0250-3583,A0003203DA,CONTROL UNIT EXHAUST AFTERTREA,FK62F0610983,240200204A,,No,MX942541,="73",NA,300777/K0420097,="17813",="20240203",FK62F ダイアグ「5BFBEE」発生によるエンジンチェックランプ点灯不具合,,,,MEDIUM DUTY TRUCK,,,,,="20230517",="20230627",="20231220",5387L,Originator Submitted
PF24020143,6M60BA6F3801,M070S6C162,,福山通運,308-8416-3531,A0005204NA,MASTER DATA NOT AVAILABLE FROM ENICS,FK62FZ0610412,240200145A,,No,ML225295,="73",NA,293180/K0413580,="7986",="20240202",23年 FK62FZ ABS/ESP制御エラー再発 HF202306090007A続報,,,,MEDIUM DUTY TRUCK,,,,,="20221026",="20230529",="20240117",="43128",Originator Submitted
PF24020141,6M60BA6F3801,M070S6C162,,福山通運,308-8416-3531,A0005204NA,"ROTOR,ABS,REAR",FK62FZ0610412,240200145A,,No,MK585777,="73",NA,293180/K0413580,="7986",="20240202",23年 FK62FZ ABS/ESP制御エラー再発 HF202306090007A続報,,,,MEDIUM DUTY TRUCK,,,,,="20221026",="20230529",="20240117",="43128",Originator Submitted
PF24020144,6M60BA6F3801,M070S6C162,,福山通運,308-8416-3531,A0005204NA,TAPERED ROLLER BEARING,FK62FZ0610412,240200145A,,No,MX933960,="73",NA,293180/K0413580,="7986",="20240202",23年 FK62FZ ABS/ESP制御エラー再発 HF202306090007A続報,,,,MEDIUM DUTY TRUCK,,,,,="20221026",="20230529",="20240117",="43128",Originator Submitted
PF24020142,6M60BA6F3801,M070S6C162,,福山通運,308-8416-3531,A0005204NA,"PICK-UP,SENSOR,RR",FK62FZ0610412,240200145A,,No,MK500836,="73",NA,293180/K0413580,="7986",="20240202",23年 FK62FZ ABS/ESP制御エラー再発 HF202306090007A続報,,,,MEDIUM DUTY TRUCK,,,,,="20221026",="20230529",="20240117",="43128",Originator Submitted
PF24020173,4P10FA4F5922,M038S6A404,,佐川急便,1967-0250-3546,A0003203DA,"CONTROL UNIT, SAM",FEB8W0585229,240200385A,,No,ML234644,="73",NA,E55460/Z0N45495,="7722",="20240206",FEB8W 市場措置案件SC468 SAM書換え途中エラー発生によるENG始動不能不具合,,,,LIGHT DUTY TRUCK,,,,,="20201218",="20201218",="20240202",="54584",Originator Submitted
PF24020180,6M60BA5F0401,M050S6F267,,日本通運,240207戸塚,A00037030P,"BRKT ASSY,UREA TANK",FK65FY0605201,240101566A,,No,ML216938,4A,NA,277122/K0399588,="127467",="20240129",21年 FK65FY SCRランフ゜点灯の件,,,,MEDIUM DUTY TRUCK,,,,,="20210510",="20210629",="20240121",="53876",Originator Submitted
